Org,Year,hitter_z_score,pitcher_z_score,total_z_score
ARI,2019,0.10805314268476078,-0.27814873455562344,-0.07582273958859186
ARI,2020,0.7932338239588883,-0.6061746368704612,0.28569128956617845
ARI,2021,0.36698558990022384,0.3601784467172897,0.394073513651871
ARI,2022,1.0102208548937952,0.35920558283233645,0.9246656645507763
ARI,2023,1.1832075633052812,1.048387151179997,1.576025777958449
ARI,2024,0.2713128912421138,-1.047555513188897,-0.16623011742340732
ATL,2019,0.3606449048049806,2.3054524879530702,1.4489642213688028
ATL,2020,0.135143540378181,0.46523951382233997,0.33856082224806205
ATL,2021,0.10866053779168648,0.23184883387264965,0.16050410586428793
ATL,2022,-1.471402759750315,-1.06995077569266,-1.5569660643483023
ATL,2023,-1.8548483107764329,-0.2994217810921706,-1.859859804320634
ATL,2024,-1.3924633629398049,1.6154408703386678,-0.7195619923418222
BAL,2019,-0.8257709475778702,-0.37313407361844303,-0.7357305390849069
BAL,2020,-0.29574890720442504,0.09658088132589221,-0.1725113270101462
BAL,2021,0.5330516948271408,0.28318067901050564,0.4883996206430103
BAL,2022,2.088835040343686,1.6569452647113563,2.263357589554859
BAL,2023,1.729736133245907,0.292299213563903,1.7403507405891878
BAL,2024,2.4390545668152357,-0.1378362517353811,2.3860131556377815
BOS,2019,-1.56823764229488,-0.9525446419016427,-1.5256201778759508
BOS,2020,-0.8128198443035523,-1.2743684082702729,-1.2592739432488649
BOS,2021,-0.026652584741356913,-0.7947880688844707,-0.2976512709498173
BOS,2022,0.8642429952088475,-0.16646112375157035,0.6089364369554736
BOS,2023,1.721698948393839,-1.1048198015962707,1.0979895230326635
BOS,2024,1.2654364622055838,-0.9648537621476683,0.8643504996121404
CHC,2019,-0.48132763559575226,-0.6485915569006199,-0.6557417149035354
CHC,2020,-0.39759621299667736,-0.6176952191359752,-0.613090766025843
CHC,2021,-0.2050198826258232,-0.8846187978757188,-0.4593531686489133
CHC,2022,1.1643085956723511,-0.7742632532392126,0.6089364369554736
CHC,2023,0.2750056750215941,1.442867814284046,0.9112566109522785
CHC,2024,1.8177273349630672,0.9042058113841007,2.1992636478528165
CHW,2019,0.8122483582926464,0.30126183372757626,0.6890703916457733
CHW,2020,0.5425327635471903,0.07353971679486422,0.4442998876118293
CHW,2021,-0.3095800227649931,-0.19163888851466251,-0.29315955156928686
CHW,2022,-1.6173806194352627,-1.6448987360188083,-1.891639045599323
CHW,2023,-0.7135680617827732,-1.3513702160363015,-1.277253118629833
CHW,2024,-0.10838708377865602,1.0199882628418209,0.3179352731302057
CIN,2019,0.9270627956200191,-0.2591516667430595,0.46910112514700164
CIN,2020,-0.8441574768550145,-0.2835983334360695,-0.7775737565917031
CIN,2021,-0.4694955312131353,-0.26863665622144656,-0.43689457174626106
CIN,2022,-0.8956012021041326,1.3119764885156675,-0.19301580113659497
CIN,2023,1.5770296210566144,-0.25011169820416446,1.351946283461987
CIN,2024,-0.84707612609179,0.2095111026377795,-0.7610618829607033
CLE,2019,0.23052187583395828,-0.47761794658754464,-0.10081924714527045
CLE,2020,0.33883815196268563,-0.13383076398438762,0.18582661672262052
CLE,2021,0.6191600455299865,0.2575147564415777,0.5423002532093756
CLE,2022,1.2372975255148249,1.0819973043852082,1.379315752288012
CLE,2023,-0.2393741555107596,1.7058549230200788,0.5527294197579394
CLE,2024,0.28512016306105087,-1.3287414667290747,-0.2699798439706101
COL,2019,-0.4277475648429783,-0.5631047517440823,-0.5757528907221638
COL,2020,-0.6874693140977033,-0.8135451176497132,-0.9303079621171447
COL,2021,-0.9184890741636883,-1.372271326685351,-1.1510779532506015
COL,2022,-0.23059095242825994,-1.2177945369193839,-0.6476658888738307
COL,2023,0.242856935613322,-1.3184968274442972,-0.3734658241607699
COL,2024,-0.5157016024373,0.011026900138830575,-0.5120625392474166
DET,2019,-0.7798451726469212,0.09229408778937308,-0.4607689559614423
DET,2020,-0.7736478036142245,2.066600448728785,0.4736718502128758
DET,2021,0.42234095820919615,2.3621204070936743,1.135207211439394
DET,2022,0.4506390594348291,-0.5278569845280063,0.14797176466633186
DET,2023,-1.0430926407175622,-0.13505483813215016,-1.0307656746837248
DET,2024,-0.1705198069638729,-0.2536187031931013,-0.2768964924070903
HOU,2019,-0.42009326902115346,2.001499402952047,0.7790578188498163
HOU,2020,-1.698107963882361,1.1219127029566374,-0.7012066538289824
HOU,2021,-1.19526591570855,-0.5381288431951907,-1.0612435656399928
HOU,2022,-1.0010296563210392,-1.0863778602734073,-1.1970347448896572
HOU,2023,-0.24741134036282764,-0.5952822784202074,-0.5004442043754317
HOU,2024,-0.7642324951781675,-0.5844257073580162,-1.01006122667399
KCR,2019,-1.468731796611157,-0.7435768959634396,-1.3506446249792006
KCR,2020,-0.7736478036142245,-0.018624941329247708,-0.5895931959450058
KCR,2021,-0.660164022055151,0.46284213699300175,-0.32010986785246953
KCR,2022,0.9210121628641049,-0.13360695459007618,0.6657676979226281
KCR,2023,-1.0832785649779024,-0.9240161643402482,-1.426639448294141
KCR,2024,-1.1301251983800003,-0.7002081588157364,-1.4250601328628012
LAA,2019,0.29558339031946945,-0.1594170607270989,0.1091514163308298
LAA,2020,0.5386155594782576,-1.2225257880754599,-0.21950646717182054
LAA,2021,-0.4018389699466136,-1.372271326685351,-0.7737735252860444
LAA,2022,-1.7795782413074268,-0.42929447704352375,-1.5506514797963962
LAA,2023,-0.7216052466348412,-1.4664270761083156,-1.3370076504955561
LAA,2024,-1.1646433779273428,-1.5437660194362692,-1.8123924453056917
LAD,2019,1.0036057538382677,-0.24015459893049557,0.5290927432830304
LAD,2020,0.942087578578334,1.755544727559907,1.6015552140930596
LAD,2021,0.18861829201575758,0.039354414605689565,0.15152066710322704
LAD,2022,-0.14138226039856971,0.4413410057360719,0.05956758093964711
LAD,2023,0.6849021024770634,1.3278109542120318,1.239906536213756
LAD,2024,1.230918282658241,1.4334970180479645,1.8326812807193664
MIA,2019,-0.7186108060723224,0.833179732479366,-0.03082902598657037
MIA,2020,1.0361004762327208,-0.13383076398438762,0.7086475510212474
MIA,2021,-0.1004597424866533,1.502312001034586,0.4524658655987667
MIA,2022,-0.6117553638278455,1.8869244488418155,0.2490051174968287
MIA,2023,-1.211873522610991,1.6729815344280747,-0.3659965076775545
MIA,2024,-1.2820051883883081,0.15989005201304227,-1.2175606797683955
MIL,2019,0.2152132841903086,-1.0570285148707443,-0.4157752423594208
MIL,2020,-1.1026929454045782,-1.1822037501461609,-1.4296313263349345
MIL,2021,-0.967693845993886,-0.7819551076000067,-0.9803926167904448
MIL,2022,-0.8631616777296998,-0.659273661173983,-0.925507609157697
MIL,2023,0.7652739509977438,-1.3184968274442972,0.11203974724823097
MIL,2024,0.6095910508060723,-0.5678853571497704,0.37326846062204716
MIN,2019,0.9806428663727931,-0.5821018195566462,0.3341199843409372
MIN,2020,0.36234137637628233,-0.3296806624981255,0.10358512143969045
MIN,2021,0.8774850976385239,-0.037643353101094464,0.627642921439454
MIN,2022,-0.43333797976846505,0.11279931412113013,-0.2940491539670918
MIN,2023,0.1544479022405737,0.062185493419874366,0.17179427911395415
MIN,2024,0.3265419785178621,-0.18745730236011834,0.24876878876540384
NYM,2019,-0.037378477929911266,-0.895553438463951,-0.49576406654079236
NYM,2020,-0.18606719327430715,-1.1015596742875629,-0.7012066538289824
NYM,2021,-0.1189115319229774,-1.0257813720048228,-0.44587801050732195
NYM,2022,0.3614303674051389,-1.0863778602734073,-0.1361845401694405
NYM,2023,1.464509033127662,-0.6610290556042155,1.0606429406165865
NYM,2024,-0.032447088774502066,-0.4851836061085417,-0.23539660178820918
NYY,2019,-0.9635482723707174,-0.43962381096241676,-0.8607130768682999
NYY,2020,0.43285104961707244,0.08506029906037822,0.3679327848491085
NYY,2021,0.41003976525164676,-0.08897519823895049,0.26830537099701857
NYY,2022,0.28844143756266505,0.7041743590280253,0.4952739150211647
NYY,2023,0.25089412046539,-1.0719464130042666,-0.2539567604293235
NYY,2024,0.6026874148966038,0.176430402221288,0.6776009918271754
OAK,2019,-0.7262651018941473,0.13978675732078288,-0.4007773378254137
OAK,2020,-0.9225015582336702,0.7878158172567317,-0.289999177414332
OAK,2021,-1.1153081614844786,-0.8076210301689348,-1.0971773206842363
OAK,2022,-0.14138226039856971,-0.8892528453044422,-0.4519137677647431
OAK,2023,-0.8260886497117256,-0.03643467235613789,-0.7842782307376168
OAK,2024,-1.0472815674663778,0.15989005201304227,-0.9823946329280693
PHI,2019,-1.1013255971635647,0.1872794268521927,-0.6207466043241854
PHI,2020,-1.1105273535424438,-0.41032473835672345,-1.0419214200011213
PHI,2021,-1.2198683016236487,-0.16597296594573452,-0.9489505811267316
PHI,2022,-0.992919775227431,-0.05147153168634075,-0.7929013335676699
PHI,2023,-1.5333609166937119,2.0838988918281256,-0.47803625492578544
PHI,2024,-0.681388864264545,1.0530689632583123,-0.24231325022468936
PIT,2019,0.5213851170633024,-0.32564140408703324,0.16914303446685844
PIT,2020,0.7932338239588883,0.29243077983963006,0.7438939061425032
PIT,2021,0.80982853637200225,1.181487968922986,1.0049473494040113
PIT,2022,1.5130334826975038,0.7041743590280253,1.4487761823589786
PIT,2023,0.6005116615303492,0.6128147523359428,0.8365634461201246
PIT,2024,-0.9023052133675383,3.1371530894972763,0.4078517028044481
SDP,2019,2.274218860261192,2.7898777171734506,2.9537539762808542
SDP,2020,0.7227241507180983,2.5389443216148586,1.8365309149014313
SDP,2021,0.20707008145208167,-0.3969662690660866,0.01227736630678328
SDP,2022,0.5885070380261685,-0.8563986761429481,0.12902801101061367
SDP,2023,-0.23133697065869158,-0.13505483813215016,-0.2763647098789697
SDP,2024,0.22298743987583397,-0.5348046567332789,-2.3055494788285635e-4
SEA,2019,-0.38182178991202925,0.22527356247732053,-0.13081505621328476
SEA,2020,0.3231693356869545,-0.06470727039130367,0.20932418680345768
SEA,2021,0.29932902863370214,0.7066684013978178,0.46594102374035806
SEA,2022,-0.07650321164970408,0.30992432909009515,0.05956758093964711
SEA,2023,-0.9305720527886099,-0.5952822784202074,-1.1353361054487405
SEA,2024,0.5060365121640442,-1.179878314854863,0.013602741925077516
SFG,2019,-0.8257709475778702,-0.8195651672136952,-0.9706977101176858
SFG,2020,0.6992209263045016,-1.1476420033496189,-0.06089786912616969
SFG,2021,0.46539513356061907,-0.3328014626437666,0.2233881771917141
SFG,2022,0.012705480379986154,-0.10075278542858201,-0.028836602787037615
SFG,2023,0.13837353253643764,0.24298913067589684,0.23901812746289272
SFG,2024,-1.0334742956474405,0.887665461175855,-0.6642288048499807
STL,2019,-0.5502162979921759,-0.32564140408703324,-0.5307591771201424
STL,2020,0.08030268341312204,-0.6752981304635453,-0.28412478489412274
STL,2021,0.31163022159125153,-0.8204539914533988,-0.05959014378170382
STL,2022,0.29655131865627327,-0.035044447105593665,0.2174321947372984
STL,2023,-0.5528243647414126,0.7854000424439643,-0.15685564614752337
STL,2024,-0.3707252483384606,0.176430402221288,-0.2976464377165309
TBR,2019,2.488539143272287,1.9065140638892277,2.6287993780440324
TBR,2020,3.5822831210390293,1.3753655127979454,3.387370540236684
TBR,2021,3.9650845299834234,2.7727751681965227,3.866172594801904
TBR,2022,1.1886382389531756,1.985486956326298,1.6887303953314086
TBR,2023,0.9662035722994444,0.04574879912387232,0.918725927435494
TBR,2024,1.576100078131668,-0.8821520111064396,1.2101829214361497
TEX,2019,-0.6573764394977236,-0.15466779377395792,-0.5107619710747995
TEX,2020,-0.1312263363092482,-0.21447483984298557,-0.20775768213140194
TEX,2021,-0.4817967241706847,-0.4867969980573347,-0.5222372399763395
TEX,2022,0.24789203209462404,1.3448306576771616,0.7099697897859705
TEX,2023,0.7893855055539478,0.5552863222999357,0.9859497757844325
TEX,2024,0.3748674298841419,-0.022053800277660913,0.366351812185567
TOR,2019,1.5011349822568825,-0.5156120822126724,0.7090675976911163
TOR,2020,-0.7344757629248966,0.6956511591326198,-0.19600889709098337
TOR,2021,0.323931414548801,1.078824278647274,0.6141677632978627
TOR,2022,-0.5306565528917635,-1.3492112135653607,-0.9318221937096031
TOR,2023,-1.0672041952737663,0.1114955763078805,-0.9411338768851402
TOR,2024,-0.84707612609179,0.12680935159655077,-0.7956451251431043
WSN,2019,0.2152132841903086,-0.9715417097142066,-0.37078152875739934
WSN,2020,-0.8519918849928801,-1.1246008388185909,-1.2122788030871907
WSN,2021,-1.7180666164043994,-0.8717858365912547,-1.559824416878872
WSN,2022,-1.4470731164694903,0.17850765244411848,-1.058113884747724
WSN,2023,-0.28759726462316776,-0.7267758327882238,-0.5975453186572318
WSN,2024,0.7614710408143802,-0.6505871081909992,0.49085148404221035
